,Shannon,Sobs,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Experiment,Date,Port,Pesticide.Sample,Neonictinoids,Organophosphates,Pyrethroids,Sample.time,AM.PM,Number,Vol.filtered.mL,Temp,Conductivity,Turbidity.NTU,Nitrates.mgL,DO,DO.mg.L,pH,Salinity,Total.vol.gal,Wind.direction,Wind.ms,H2O.use,cloud.cover,Ambient.temperature,SampleType,Dosing
BR1B1046,4.185505637137362,114.0,18795,3957,21.05,2784,1588,8.45,1422,7.57,Sampling,10/8/24,4.0,BR1_4_012,1699.89,0.0,0.0,9:40 AM,AM,46.0,540.0,17.0,2.745,2.24,4.7,3.4,0.31,7.31,1.71,465169.0,W,2.0,N,15.0,20.0,Water,Post
BR1B1048,4.626606875039512,156.0,18151,5122,28.22,3879,2476,13.64,2355,12.97,Sampling,10/8/24,4.0,,,,,1:40 PM,PM,48.0,540.0,17.3,2.762,6.7,71.36,3.5,0.33,7.33,1.71,465283.0,W,3.0,N,8.0,21.0,Water,Post
BR1D001,1.7731261234198128,9.0,23735,4557,19.2,4535,4468,18.82,3768,15.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D002,1.7182317699670975,11.0,17196,2228,12.96,2204,2137,12.43,1764,10.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D003,1.6998920914404532,16.0,24045,4960,20.63,4943,4871,20.26,3742,15.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D004,1.7791909478852599,8.0,17419,2656,15.25,2645,2614,15.01,2117,12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D006,2.144498435590649,14.0,8811,1235,14.02,1232,1218,13.82,1066,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D014,1.8786264144682994,11.0,6157,1441,23.4,1370,1308,21.24,1160,18.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D015,2.0580748826752737,21.0,14371,3291,22.9,3275,3246,22.59,2857,19.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D016,1.9371930596530995,18.0,16331,5145,31.5,5101,5058,30.97,4357,26.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D017,1.2347654348375003,6.0,25606,4178,16.32,4157,4142,16.18,3252,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D018,1.9640161242026979,14.0,22219,7032,31.65,7024,6981,31.42,6065,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D019,1.7309748035353514,6.0,3905,1214,31.09,1198,1179,30.19,1042,26.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D020,1.5133950129525653,8.0,21238,5873,27.65,5866,5823,27.42,5059,23.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D022,1.3254563355507405,8.0,20986,5077,24.19,5068,5049,24.06,4106,19.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D023,2.2255083400731013,17.0,20114,7081,35.2,7031,6853,34.07,5594,27.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D024,1.6852989057068577,15.0,20753,6759,32.57,6737,6684,32.21,5982,28.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D025,1.9029021261561367,14.0,35390,13655,38.58,13586,13482,38.1,10001,28.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D026,1.312195669170764,7.0,32303,10453,32.36,10394,10328,31.97,8095,25.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D027,2.3128662758770795,20.0,19492,5463,28.03,5445,5393,27.67,4822,24.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D028,1.463232349944224,7.0,28300,10277,36.31,10227,10205,36.06,7747,27.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D029,2.0390282739213457,18.0,26989,9927,36.78,9908,9808,36.34,8239,30.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D030,1.8430476923776566,16.0,19231,5577,29,5573,5523,28.72,4931,25.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D031,1.3808936645263952,7.0,17494,2924,16.71,2915,2898,16.57,2477,14.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D032,2.043909121883987,15.0,16765,2164,12.91,2150,2102,12.54,1812,10.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D034,1.1972387427354971,5.0,15348,2188,14.26,2185,2169,14.13,1741,11.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D039,1.9343353161551584,16.0,17836,1394,7.82,1388,1361,7.63,1179,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D040,2.5091984971252232,15.0,46111,5118,11.1,5076,4714,10.22,4080,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D042,1.9402049263647416,15.0,26673,10048,37.67,10028,9968,37.37,8250,30.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D043,2.0940111691719645,26.0,24863,9364,37.66,9337,9193,36.97,7367,29.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D044,2.478608902537878,23.0,23671,7037,29.73,7008,6902,29.16,6189,26.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D045,2.062890797540853,24.0,26118,8252,31.6,8215,8058,30.85,6256,23.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D046,1.5918545675525055,16.0,35552,13083,36.8,13045,12958,36.45,10690,30.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D047,2.432734411814168,17.0,16183,4819,29.78,4812,4692,28.99,4098,25.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D048,2.0855839980391284,19.0,23225,6008,25.87,5990,5863,25.24,4539,19.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D049,2.157345621376232,18.0,23411,7364,31.46,7353,7238,30.92,5582,23.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D050,1.4327512636291833,6.0,20172,3274,16.23,3262,3236,16.04,2691,13.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D051,1.7546515779954455,10.0,23933,7821,32.68,7803,7721,32.26,6356,26.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D052,1.2941232347855316,7.0,29250,9189,31.42,9118,9064,30.99,6775,23.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D053,2.1055122613816244,25.0,24191,6549,27.07,6533,6419,26.53,5194,21.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D054,2.1749508830993873,20.0,15555,4118,26.47,4112,4074,26.19,3586,23.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D055,1.5086758069558461,10.0,22413,5818,25.96,5793,5719,25.52,4511,20.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D056,1.8912576368934462,20.0,22376,5783,25.84,5764,5595,25,4202,18.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D057,2.0816204793990285,23.0,21899,4958,22.64,4932,4820,22.01,3883,17.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D058,1.3550862055142683,12.0,22659,5832,25.74,5819,5771,25.47,4737,20.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D059,2.222305548053611,21.0,20470,7179,35.07,7167,7093,34.65,6200,30.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D060,2.2522993179782373,18.0,21858,7979,36.5,7961,7833,35.84,6517,29.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D063,1.851185475569004,20.0,29216,7639,26.15,7620,7503,25.68,5999,20.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D068,2.465107324717508,19.0,17341,3963,22.85,3948,3827,22.07,3482,20.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D069,2.091365161650122,17.0,22785,6196,27.19,6176,6065,26.62,4879,21.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D070,1.8596404513223856,12.0,26374,7499,28.43,7469,7337,27.82,5543,21.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D075,1.927502263274518,22.0,25700,5918,23.03,5901,5728,22.29,4473,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D076,1.8410078302973045,17.0,24629,6612,26.85,6558,6419,26.06,4772,19.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D085,1.9280797428899068,16.0,30981,11152,36,11114,11009,35.53,7675,24.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D087,2.248760107506667,18.0,23950,7820,32.65,7727,7422,30.99,5784,24.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D088,2.349404345699131,23.0,20195,5974,29.58,5938,5750,28.47,4827,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D091,2.40094227626651,18.0,4518,1396,30.9,1378,1311,29.02,1108,24.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D092,1.6902080712873402,12.0,7221,2105,29.15,2099,2040,28.25,1559,21.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D093,1.7792040766578234,10.0,12330,4050,32.85,4030,3965,32.16,2964,24.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D094,1.8285019000347387,9.0,8822,1415,16.04,1403,1347,15.27,1052,11.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D095,2.3784605297640535,25.0,27390,9094,33.2,9036,8731,31.88,7077,25.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D096,2.181164882525029,16.0,21238,6744,31.75,6703,6517,30.69,5310,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D097,2.1679336429439706,24.0,21854,5293,24.22,5265,5115,23.41,4123,18.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D098,2.56644635787856,17.0,19335,4599,23.79,4535,4218,21.82,3714,19.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D099,2.2122655582887942,16.0,26722,6903,25.83,6863,6554,24.53,5212,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D100,1.9766509897789097,13.0,26946,7598,28.2,7590,7473,27.73,6057,22.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D101,1.7347833657784189,10.0,27744,6617,23.85,6577,6505,23.45,4759,17.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D102,2.4393976345118897,18.0,19494,4637,23.79,4612,4478,22.97,3967,20.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D103,3.9687757930031866,163.0,63255,20939,33.1,19674,17144,27.1,15464,24.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D104,3.1491766083577915,141.0,51054,16933,33.17,15863,14036,27.49,11021,21.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D105,1.965744975959248,35.0,38632,11641,30.13,11104,10540,27.28,7746,20.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D106,2.7162062870044137,93.0,44730,12546,28.05,11560,10224,22.86,8208,18.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D107,3.202505472800233,128.0,63301,19559,30.9,17990,15564,24.59,11905,18.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D108,3.583327898778228,144.0,53197,17496,32.89,16205,13933,26.19,11861,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D109,2.824198552397716,109.0,49431,14120,28.57,12988,11764,23.8,8648,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D110,2.9054735756107233,78.0,33900,10578,31.2,9711,8546,25.21,7268,21.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D111,2.1228008148362334,15.0,24752,7884,31.85,7872,7719,31.19,6303,25.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D112,2.6298281698931527,18.0,21173,6068,28.66,6021,5742,27.12,5218,24.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D114,2.3995610202315927,16.0,21295,6385,29.98,6344,6094,28.62,5203,24.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D116,2.541503700659827,19.0,31271,8924,28.54,8864,8283,26.49,6896,22.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D117,2.4016603439533157,17.0,23101,7167,31.02,7141,6850,29.65,5759,24.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D118,2.4592981206798026,20.0,27394,9736,35.54,9685,9323,34.03,7857,28.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D119,2.3273563280785563,21.0,27602,10143,36.75,10099,9742,35.29,7804,28.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D120,1.8712924381382494,11.0,28515,8939,31.35,8905,8785,30.81,6650,23.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D121,1.9547773166491886,14.0,23508,7605,32.35,7591,7493,31.87,6125,26.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D122,1.969158868241116,14.0,21398,6481,30.29,6465,6378,29.81,5338,24.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D123,1.8700026962304461,14.0,25280,7606,30.09,7582,7483,29.6,6204,24.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D124,2.153543881172391,16.0,16387,5024,30.66,5013,4937,30.13,4302,26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D125,1.9019453075149004,16.0,25733,7819,30.39,7791,7654,29.74,6317,24.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D126,1.9746639991715114,16.0,24884,8147,32.74,8125,8038,32.3,6618,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D127,1.8247710528232566,11.0,19461,2903,14.92,2883,2841,14.6,2304,11.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D128,1.799400461375674,12.0,30373,9592,31.58,9547,9408,30.97,7183,23.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D129,1.8394283893246277,13.0,38674,11820,30.56,11780,11619,30.04,9244,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D130,1.8132568440225727,14.0,30633,8553,27.92,8540,8452,27.59,7018,22.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D131,1.8924365967115953,15.0,32283,7890,24.44,7871,7801,24.16,6307,19.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D132,2.2604514793393133,16.0,24158,6005,24.86,5916,5797,24,5115,21.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D133,2.3237886633284153,20.0,24691,6871,27.83,6813,6640,26.89,5582,22.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D134,1.8823265688186268,14.0,30904,7526,24.35,7471,7414,23.99,6160,19.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D135,1.9958437924527235,17.0,27250,7135,26.18,7104,6980,25.61,5631,20.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D136,2.034607827929706,19.0,34621,12866,37.16,12831,12655,36.55,10349,29.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D137,2.317797945945872,20.0,34297,12668,36.94,12608,12189,35.54,9540,27.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D138,2.0739061895191115,26.0,37242,11612,31.18,11527,11328,30.42,8746,23.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D139,2.403767639214739,18.0,18952,5397,28.48,5337,5093,26.87,4882,25.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D140,2.713028867869351,23.0,31998,11309,35.34,11218,10763,33.64,9421,29.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1D141,2.6264765484350208,19.0,24988,8915,35.68,8849,8478,33.93,7610,30.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1DS2,2.2044413213262963,12.0,26165,7679,29.35,7610,6779,25.91,6026,23.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1DS4,2.1084275347880603,11.0,26183,7540,28.8,7470,6536,24.96,5899,22.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1DS5,2.2225157433367846,16.0,24603,7020,28.53,6948,6123,24.89,5279,21.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P001,1.8623480641586228,10.0,8853,2754,31.11,2745,2733,30.87,2377,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P002,1.8161994743893783,10.0,10708,3747,34.99,3740,3724,34.78,3207,29.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P003,1.7715944665670091,12.0,27292,9311,34.12,9295,9256,33.91,8051,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P004,1.8291598108833111,15.0,78306,24747,31.6,24683,24450,31.22,15801,20.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P005,1.894753395167785,16.0,23952,8624,36.01,8574,8501,35.49,6694,27.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P006,1.8417170600569996,15.0,18207,6787,37.28,6752,6661,36.58,5490,30.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P008,1.781506812408896,11.0,20741,4371,21.07,4341,4271,20.59,3319,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P009,1.865181860482408,11.0,14053,3692,26.27,3688,3665,26.08,3143,22.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P010,1.8077802128278613,10.0,13983,2255,16.13,2246,2216,15.85,1712,12.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P011,1.8648742785173733,11.0,8002,2949,36.85,2945,2911,36.38,2570,32.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P012,1.9743604672873913,17.0,38251,11900,31.11,11852,11662,30.49,9345,24.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P013,1.7134692977725763,14.0,21384,6852,32.04,6847,6804,31.82,5527,25.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P014,1.7618670087935475,12.0,11156,3240,29.04,3225,3199,28.68,2659,23.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P015,1.849148694977857,15.0,83013,28766,34.65,28677,28474,34.3,20030,24.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P016,1.7339946715404337,11.0,19531,6359,32.56,6086,5993,30.68,5165,26.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P017,1.7305791735403946,6.0,34163,8959,26.22,8950,8931,26.14,6450,18.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P018,1.7346846878892355,6.0,18356,5743,31.29,5737,5728,31.21,4887,26.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P019,1.7118302962538823,6.0,13405,3680,27.45,3671,3667,27.36,3159,23.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P020,1.7782877160569752,9.0,31615,10878,34.41,10862,10843,34.3,9106,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P021,1.6867565776249345,6.0,19504,5998,30.75,5986,5978,30.65,5135,26.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P022,1.729894932664457,6.0,33987,12437,36.59,12411,12366,36.38,10550,31.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P023,1.7259524552078507,8.0,18821,6257,33.24,6241,6185,32.86,5261,27.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P025,1.8112275979400738,11.0,44430,9122,20.53,9113,9083,20.44,7467,16.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P026,1.7629017662890412,9.0,37264,6081,16.32,6057,6042,16.21,5040,13.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P027,1.7806467511057915,9.0,10834,3570,32.95,3559,3548,32.75,3013,27.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P028,1.788513946148395,9.0,21502,7132,33.17,7112,7093,32.99,5876,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P029,1.6759879224809202,7.0,14162,4409,31.13,4405,4383,30.95,3865,27.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P031,1.4274415376634735,7.0,17837,6590,36.95,6579,6572,36.84,5542,31.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P032,1.3444438695999366,6.0,21807,6979,32,6964,6911,31.69,5533,25.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P033,1.4086992712317554,6.0,18451,5732,31.07,5726,5706,30.93,4629,25.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P034,1.7438145703257424,7.0,28951,9972,34.44,9953,9857,34.05,7614,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR1P035,1.7011095903180684,7.0,32790,9954,30.36,9919,9905,30.21,7909,24.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
