,Shannon,Sobs,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Date,Year,SampleType,Dosing,Time,InfluentFlowgalpermin,WindSpeedmps,WindDirection,H2OUse,PercentCloudCover,Port,PSampleID,ImidAbsorbance,ImidConcentration,PyreAbsorbance,PyreConcentration,FilterVolmL,ConductivitymgL,TempC,Turbidityppm,Phosppm,Nitratesppm,DisO2ppm,Salinity,pH,avgImidppm,avgPyreppm,ImidConcentrationppm,PyreConcentrationppm,TurbidityppmSONDE,NitratesppmSONDE,DisO2ppmSONDE,SalinitySONDE,pHSONDE
B0025_S25,5.030727032426215,269.0,15410,13579,88.12,12723,8603,55.83,7316,47.48,7/9/19,2019,Water,Pre,14:00:00,,2.5,,0,10.0,1,P_0021,0.4185,0.228558,0.4545,2.179222,132.0,1672,19.9,42.0,1.3,10.9,6.0,0.5,,0.1530465,2.7284735,,,,,,,
B0026_S26,4.6499541633732155,191.0,10944,8974,82.0,8340,5922,54.11,5089,46.5,7/9/19,2019,Water,Pre,14:00:00,,2.5,,0,10.0,2,,,,,,25.0,1599,19.8,60.0,1.19,8.3,5.3,1.0,,0.1530465,2.7284735,,,,,,,
B0027_S27,4.884237479966104,227.0,8316,7718,92.81,7259,6497,78.13,6224,74.84,7/9/19,2019,Water,Pre,14:00:00,,2.5,,0,10.0,3,,,,,,30.0,1603,20.2,99.0,1.02,10.2,9.0,1.0,,0.1530465,2.7284735,,,,,,,
B0028_S28,4.811541351000706,241.0,14558,13472,92.54,12718,8690,59.69,7388,50.75,7/9/19,2019,Water,Pre,14:00:00,,2.5,,0,10.0,4,P_0022,0.4935,0.077535,0.4185,3.277725,127.0,1615,18.9,38.0,0.93,10.8,4.0,2.0,,0.1530465,2.7284735,,,,,,,
B0029_S29,5.031686279902681,254.0,12472,11656,93.46,10959,7893,63.29,6915,55.44,7/9/19,2019,Water,Pre,17:00:00,,2.9,,yes,100.0,1,P_0023,0.4295,0.20515,0.4935,1.30509,130.0,1504,22.5,47.0,0.91,13.1,4.1,2.5,,0.189035,2.105981,,,,,,,
B0030_S30,4.899701808588765,255.0,13776,12727,92.39,12069,9009,65.4,8071,58.59,7/9/19,2019,Water,Pre,17:00:00,,2.9,,yes,100.0,2,,,,,,55.0,1513,22.0,110.0,1.08,6.3,7.2,2.5,,0.189035,2.105981,,,,,,,
B0031_S31,5.096296359926131,287.0,15681,14607,93.15,13841,10466,66.74,9225,58.83,7/9/19,2019,Water,Pre,17:00:00,,2.9,,yes,100.0,3,,,,,,34.0,1505,22.1,100.0,1.12,13.6,6.8,2.0,,0.189035,2.105981,,,,,,,
B0032_S32,4.872458632023864,256.0,13269,12257,92.37,11975,11320,85.31,10911,82.23,7/9/19,2019,Water,Pre,17:00:00,,2.9,,yes,100.0,4,P_0024,0.445,0.17292,0.4295,2.906872,155.0,1594,21.5,90.0,1.23,9.2,3.1,1.5,,0.189035,2.105981,,,,,,,
B0033_S33,5.305171458167791,301.0,13334,12125,90.93,11203,8544,64.08,7851,58.88,7/10/19,2019,Water,Pre,8:00:00,,1.0,W,0,100.0,1,P_0025,0.5035,0.058855,0.445,2.438223,350.0,1584,16.7,12.0,1.37,35.0,3.9,1.0,,0.0501315,1.7804515,,,,,,,
B0034_S34,4.6203476469618785,214.0,11685,10730,91.83,10263,8810,75.4,8185,70.05,7/10/19,2019,Water,Pre,8:00:00,,1.0,W,0,100.0,2,,,,,,110.0,1664,17.2,42.0,1.11,34.2,4.3,1.5,,0.0501315,1.7804515,,,,,,,
B0035_S35,4.7426438359532845,225.0,6359,5853,92.04,5575,5008,78.75,4786,75.26,7/10/19,2019,Water,Pre,8:00:00,,1.0,W,0,100.0,3,,,,,,200.0,1613,16.6,,1.01,24.8,4.7,1.5,,0.0501315,1.7804515,,,,,,,
B0036_S36,5.193959132024126,290.0,16627,15765,94.82,14788,10226,61.5,9120,54.85,7/10/19,2019,Water,Pre,8:00:00,,1.0,W,0,100.0,4,P_0026,0.513,0.041408,0.5035,1.12268,165.0,1583,14.6,20.0,1.26,25.4,4.5,1.5,,0.0501315,1.7804515,,,,,,,
B0037_S37,5.28068877344524,302.0,11851,11243,94.87,10286,8204,69.23,7670,64.72,7/10/19,2019,Water,Pre,11:00:00,,2.0,W,0,5.0,1,P_0027,0.5885,-0.08741,0.513,0.962779,300.0,1629,17.5,0.0,1.39,41.2,6.2,1.0,,-0.039137,0.5080445,,,,,,,
B0038_S38,5.122215876249644,292.0,18005,17114,95.05,15942,10890,60.48,9406,52.24,7/10/19,2019,Water,Pre,11:00:00,,2.0,W,0,5.0,2,,,,,,210.0,1675,17.5,38.0,1.32,34.4,6.1,0.0,,-0.039137,0.5080445,,,,,,,
B0039_S39,5.162819304159564,302.0,20216,19061,94.29,17789,12379,61.23,10483,51.85,7/10/19,2019,Water,Pre,11:00:00,,2.0,W,0,5.0,3,,,,,,170.0,1567,17.7,16.0,1.17,35.2,5.5,0.5,,-0.039137,0.5080445,,,,,,,
B0040_S40,5.063416215803803,293.0,15795,14056,88.99,13112,9813,62.13,8697,55.06,7/10/19,2019,Water,Pre,11:00:00,,2.0,W,0,5.0,4,P_0028,0.531,0.009136,0.5885,0.05331,300.0,1823,16.7,5.0,0.99,33.4,5.3,0.0,,-0.039137,0.5080445,,,,,,,
B0042_S42,5.17993333346783,292.0,18135,17149,94.56,15992,10873,59.96,9308,51.33,7/10/19,2019,Water,Pre,14:00:00,,3.0,WNW,0,0.0,2,,,,,,160.0,1543,19.8,36.0,1.29,32.4,4.7,1.0,,0.007079,0.557603,,,,,,,
B0043_S43,5.114711961188034,259.0,9403,8873,94.36,8363,7302,77.66,7014,74.59,7/10/19,2019,Water,Pre,14:00:00,,3.0,WNW,0,0.0,3,,,,,,140.0,1457,19.0,12.0,0.96,31.4,4.5,0.0,,0.007079,0.557603,,,,,,,
B0044_S44,5.038951455513928,222.0,5127,4828,94.17,4634,4315,84.16,4176,81.45,7/10/19,2019,Water,Pre,14:00:00,,3.0,WNW,0,0.0,4,P_0030,0.513,0.041408,0.552,0.423109,360.0,1570,16.7,10.0,1.11,40.2,5.7,0.0,,0.007079,0.557603,,,,,,,
B0045_S45,5.300502447979789,304.0,14363,13626,94.87,12475,9198,64.04,8268,57.56,7/10/19,2019,Water,Pre,17:00:00,,4.2,W,0,0.0,1,P_0031,0.5735,-0.06315,0.513,0.962779,360.0,1814,20.4,0.0,0.45,48.4,8.7,2.0,,-0.0026105,0.5773685,,,,,,,
B0046_S46,5.135590880109753,284.0,11232,10581,94.2,10106,9369,83.41,9050,80.57,7/10/19,2019,Water,Pre,17:00:00,,4.2,W,0,0.0,2,,,,,,125.0,1691,21.8,74.0,1.1,42.6,5.3,1.0,,-0.0026105,0.5773685,,,,,,,
B0047_S47,5.139386667478403,262.0,13848,13197,95.3,12391,8121,58.64,7038,50.82,7/10/19,2019,Water,Pre,17:00:00,,4.2,W,0,0.0,3,,,,,,180.0,1583,23.7,17.0,1.15,31.4,5.5,1.0,,-0.0026105,0.5773685,,,,,,,
B0048_S48,4.954488145543207,255.0,18400,16411,89.19,15467,11418,62.05,9809,53.31,7/10/19,2019,Water,Pre,17:00:00,,4.2,W,0,0.0,4,P_0032,0.504,0.057929,0.5735,0.191958,300.0,1552,19.1,9.0,1.13,37.2,6.2,0.0,,-0.0026105,0.5773685,,,,,,,
B0049_S49,4.777879148263837,187.0,8432,7506,89.02,6823,4627,54.87,4084,48.43,7/11/19,2019,Water,Pre,8:00:00,,2.6,W,0,10.0,1,P_0033,0.569,-0.05575,0.504,1.113948,300.0,1882,17.5,6.0,1.17,35.8,11.8,1.0,,-0.0255085,0.675478,,,,,,,
B0050_S50,5.04272114058944,246.0,11082,10474,94.51,9768,6519,58.83,5766,52.03,7/11/19,2019,Water,Pre,8:00:00,,2.6,W,0,10.0,2,,,,,,120.0,3770,18.3,85.0,1.07,40.6,12.5,2.0,,-0.0255085,0.675478,,,,,,,
B0051_S51,5.097476547398142,239.0,10908,10224,93.73,9471,6065,55.6,5293,48.52,7/11/19,2019,Water,Pre,8:00:00,,2.6,W,0,10.0,3,,,,,,92.0,1702,19.3,16.0,1.54,40.2,8.1,1.0,,-0.0255085,0.675478,,,,,,,
B0052_S52,5.12034620167079,255.0,12285,11555,94.06,10817,7170,58.36,6247,50.85,7/11/19,2019,Water,Pre,8:00:00,,2.6,W,0,10.0,4,P_0034,0.5335,0.004733,0.569,0.237008,50.0,3440,18.3,13.0,1.19,31.0,8.1,1.0,,-0.0255085,0.675478,,,,,,,
B0053_S53,5.349188129553184,321.0,17302,16337,94.42,15327,10042,58.04,8602,49.72,7/11/19,2019,Water,Pre,11:22:00,,4.6,W,0,0.0,1,P_0035,0.514,0.039588,0.5335,0.65758,145.0,4843,,23.0,1.11,26.2,9.7,0.0,,0.027904,0.802122,,,,,,,
B0054_S54,5.252903222003826,297.0,17378,16331,93.98,15229,9649,55.52,8390,48.28,7/11/19,2019,Water,Pre,11:22:00,,4.6,W,0,0.0,2,,,,,,150.0,1652,,30.0,1.11,36.0,8.3,0.0,,0.027904,0.802122,,,,,,,
B0055_S55,5.073462410236891,246.0,13961,13003,93.14,11810,6705,48.03,5483,39.27,7/11/19,2019,Water,Pre,11:22:00,,4.6,W,0,0.0,3,,,,,,125.0,4206,,24.0,1.17,35.8,8.7,0.0,,0.027904,0.802122,,,,,,,
B0056_S56,4.235850053270407,107.0,3205,2827,88.21,2599,2132,66.52,2012,62.78,7/11/19,2019,Water,Pre,11:22:00,,4.6,W,0,0.0,4,P_0036,0.527,0.01622,0.514,0.946664,120.0,3902,,30.0,1.35,36.2,4.6,0.0,,0.027904,0.802122,,,,,,,
B0058_S58,5.442513560149373,386.0,79431,74662,94.0,72100,53278,67.07,40457,50.93,7/11/19,2019,Water,Pre,14:25:00,,3.9,W,0,0.0,2,,,,,,110.0,3788,20.4,54.0,1.06,34.2,5.5,0.0,,-0.01989,0.562886,,,,,,,
B0059_S59,5.017051687123258,238.0,14546,13589,93.42,12260,6597,45.35,5203,35.77,7/11/19,2019,Water,Pre,14:25:00,,3.9,W,0,0.0,3,,,,,,90.0,2833,20.3,45.0,1.09,33.6,10.1,0.0,,-0.01989,0.562886,,,,,,,
B0060_S60,5.13554652300496,272.0,14046,13269,94.47,12494,8269,58.87,7117,50.67,7/11/19,2019,Water,Pre,14:25:00,,3.9,W,0,0.0,4,P_0038,0.5395,-0.00575,0.556,0.376946,98.0,1470,18.6,45.0,1.18,40.0,,0.0,,-0.01989,0.562886,,,,,,,
B0061_S61,5.187291920021293,275.0,11920,11106,93.17,10322,6754,56.66,5894,49.45,7/11/19,2019,Water,Pre,17:10:00,,4.0,W,3,10.0,1,P_0039,0.494,0.076594,0.5395,0.577584,165.0,1864,22.2,23.0,0.79,39.6,4.7,1.0,,0.048633,0.936596,,,,,,,
B0062_S62,4.554568290243405,160.0,5092,4762,93.52,4439,3322,65.24,3062,60.13,7/11/19,2019,Water,Pre,17:10:00,,4.0,W,3,10.0,2,,,,,,80.0,1754,22.4,87.0,0.98,33.8,7.8,1.0,,0.048633,0.936596,,,,,,,
B0063_S63,5.371468973779827,377.0,43536,38984,89.54,37369,29928,68.74,26279,60.36,7/11/19,2019,Water,Pre,17:10:00,,4.0,W,3,10.0,3,,,,,,40.0,1621,22.3,138.0,1.12,35.4,7.8,0.0,,0.048633,0.936596,,,,,,,
B0064_S64,4.156080607337172,96.0,3089,2625,84.98,2302,1658,53.67,1504,48.69,7/11/19,2019,Water,Pre,17:10:00,,4.0,W,3,10.0,4,P_0040,0.5245,0.020672,0.494,1.295608,110.0,1685,20.0,32.0,1.55,37.4,4.0,0.0,,0.048633,0.936596,,,,,,,
B0065_S65,4.873934031723701,222.0,8574,8065,94.06,7432,5737,66.91,5264,61.39,7/12/19,2019,Water,Pre,8:04:00,,0.0,,0,100.0,1,P_0041,0.371,0.334975,0.5245,0.785244,105.0,1545,18.9,27.0,1.11,23.6,1.9,2.0,,0.223485,3.056711,,,,,,,
B0066_S66,4.955401515549211,240.0,11293,10533,93.27,9871,7056,62.48,6102,54.03,7/12/19,2019,Water,Pre,8:04:00,,0.0,,0,100.0,2,,,,,,115.0,1598,19.1,62.0,0.45,29.0,5.0,2.0,,0.223485,3.056711,,,,,,,
B0067_S67,5.01817539759066,251.0,11742,11071,94.29,10329,7734,65.87,6981,59.45,7/12/19,2019,Water,Pre,8:04:00,,0.0,,0,100.0,3,,,,,,70.0,1552,18.9,75.0,1.03,33.0,4.1,2.0,,0.223485,3.056711,,,,,,,
B0068_S68,4.392646566981417,130.0,3801,3511,92.37,3236,2772,72.93,2670,70.24,7/12/19,2019,Water,Pre,8:04:00,,0.0,,0,100.0,4,P_0042,0.4755,0.111995,0.371,5.328178,78.0,2475,18.1,39.0,1.13,31.4,2.8,2.5,,0.223485,3.056711,,,,,,,
B0069_S69,5.019389159945755,246.0,13050,12328,94.47,11506,8329,63.82,7247,55.53,7/12/19,2019,Water,Pre,11:00:00,,2.8,W,0,60.0,1,P_0043,0.4065,0.254614,0.4755,1.67383,145.0,3563,20.8,23.0,0.91,43.4,4.3,2.0,,0.168909,2.6981915,,,,,,,
B0070_S70,5.156767305396221,295.0,13795,12835,93.04,11854,7746,56.15,6592,47.79,7/12/19,2019,Water,Pre,11:00:00,,2.8,W,0,60.0,2,,,,,,60.0,1669,22.8,64.0,0.89,40.0,4.6,2.5,,0.168909,2.6981915,,,,,,,
B0071_S71,4.798768483433936,205.0,9136,7734,84.65,7125,5107,55.9,4593,50.27,7/12/19,2019,Water,Pre,11:00:00,,2.8,W,0,60.0,3,,,,,,40.0,4971,20.0,176.0,1.0,22.0,8.9,2.5,,0.168909,2.6981915,,,,,,,
B0072_S72,4.776263488373123,182.0,8247,7010,85.0,6472,4515,54.75,4107,49.8,7/12/19,2019,Water,Pre,11:00:00,,2.8,W,0,60.0,4,P_0044,0.4905,0.083204,0.4065,3.722553,70.0,4870,19.7,65.0,0.92,23.2,4.1,2.5,,0.168909,2.6981915,,,,,,,
B0073_S73,5.1276493556803775,271.0,8905,8423,94.59,7775,6050,67.94,5597,62.85,7/12/19,2019,Water,Pre,14:09:00,,4.1,W,0,40.0,1,P_0045,0.473,0.116868,0.4905,1.36281,160.0,5257,22.3,94.0,0.89,25.2,3.4,1.5,,0.213776,1.54616,,,,,,,
B0074_S74,4.81557367687061,208.0,8719,8146,93.43,7570,5464,62.67,4834,55.44,7/12/19,2019,Water,Pre,14:09:00,,4.1,W,0,40.0,2,,,,,,73.0,2882,22.1,44.0,0.44,25.4,11.0,2.0,,0.213776,1.54616,,,,,,,
B0075_S75,4.98564010716397,246.0,11263,10668,94.72,9967,7473,66.35,6673,59.25,7/12/19,2019,Water,Pre,14:09:00,,4.1,W,0,40.0,3,,,,,,53.0,1826,21.2,60.0,0.88,22.0,7.5,0.0,,0.213776,1.54616,,,,,,,
B0076_S76,5.0147607513185,229.0,9086,8457,93.08,7874,6042,66.5,5629,61.95,7/12/19,2019,Water,Pre,14:09:00,,4.1,W,0,40.0,4,P_0046,0.3815,0.310684,0.473,1.72951,90.0,1787,18.8,57.0,0.82,23.2,3.8,0.0,,0.213776,1.54616,,,,,,,
B0077_S77,5.121243335439859,271.0,9731,9212,94.67,8697,7609,78.19,7221,74.21,7/12/19,2019,Water,Pre,17:04:00,,3.2,W,5,95.0,1,P_0047,0.4175,0.230709,0.3815,4.803436,125.0,2075,22.6,29.0,1.03,26.4,3.5,3.0,,0.2080005,4.058286,,,,,,,
B0078_S78,4.877528567960061,236.0,10581,9918,93.73,9257,6824,64.49,5936,56.1,7/12/19,2019,Water,Pre,17:04:00,,3.2,W,5,95.0,2,,,,,,65.0,1848,22.9,75.0,0.97,27.6,4.0,3.0,,0.2080005,4.058286,,,,,,,
B0079_S79,5.0528248101436635,246.0,13370,10807,80.83,9929,7162,53.57,6364,47.6,7/12/19,2019,Water,Pre,17:04:00,,3.2,W,5,95.0,3,,,,,,45.0,2509,21.7,159.0,0.92,22.0,6.3,2.0,,0.2080005,4.058286,,,,,,,
B0080_S80,4.782103316373419,183.0,8361,6715,80.31,6103,4551,54.43,4157,49.72,7/12/19,2019,Water,Pre,17:04:00,,3.2,W,5,95.0,4,P_0048,0.439,0.185292,0.4175,3.313136,40.0,1499,22.4,122.0,0.9,24.6,4.2,2.0,,0.2080005,4.058286,,,,,,,
B0081_S1,5.018934054836678,259.0,14340,12614,87.96,11645,7658,53.4,6527,45.52,7/15/19,2019,Water,Pre,8:00:00,0.0,1.1,W,0,0.0,1,P_0049,0.275,0.371359,0.851,0.384306,210.0,4360,17.4,30.0,0.79,18.8,6.4,1.0,,0.1849745,0.3424165,,,,,,,
B0082_S2,4.960805092464495,232.0,13849,11850,85.57,10906,6475,46.75,5325,38.45,7/15/19,2019,Water,Pre,8:00:00,0.0,1.1,W,0,0.0,2,,,,,,110.0,3383,17.2,96.0,1.03,26.6,4.6,2.0,,0.1849745,0.3424165,,,,,,,
B0083_S3,5.2038696961158575,289.0,21407,19141,89.41,17659,11042,51.58,9104,42.53,7/15/19,2019,Water,Pre,8:00:00,0.0,1.1,W,0,0.0,3,,,,,,50.0,2868,17.8,201.0,0.67,21.8,5.5,2.0,,0.1849745,0.3424165,,,,,,,
B0085_S5,5.214788092375932,304.0,17698,15710,88.77,14633,9217,52.08,7771,43.91,7/15/19,2019,Water,Pre,11:00:00,0.0,3.2,W,0,0.0,1,P_0051,0.1105,1.021366,0.9,0.048233,130.0,1594,18.7,42.0,1.13,20.8,7.2,2.5,,0.5665365,0.049722,,,,,,,
B0086_S6,4.956410067114752,230.0,13125,11322,86.26,10571,6277,47.82,5332,40.62,7/15/19,2019,Water,Pre,11:00:00,0.0,3.2,W,0,0.0,2,,,,,,75.0,2133,18.9,91.0,0.67,22.4,4.1,0.0,,0.5665365,0.049722,,,,,,,
B0087_S7,5.092144869404007,294.0,20219,18178,89.91,17087,11906,58.89,9854,48.74,7/15/19,2019,Water,Pre,11:00:00,0.0,3.2,W,0,0.0,3,,,,,,40.0,5059,19.3,202.0,0.71,17.6,6.2,1.0,,0.5665365,0.049722,,,,,,,
B0088_S8,4.973421815695973,245.0,15248,13032,85.47,12178,7790,51.09,6571,43.09,7/15/19,2019,Water,Pre,11:00:00,0.0,3.2,W,0,0.0,4,P_0052,0.364,0.111707,0.8995,0.051211,70.0,4590,18.6,88.0,0.91,17.6,3.5,0.0,,0.5665365,0.049722,,,,,,,
B0089_S9,5.316264141695282,320.0,15587,14103,90.48,13089,9122,58.52,8027,51.5,7/15/19,2019,Water,Pre,14:00:00,0.0,3.8,SW,0,0.0,1,P_0053,0.297,0.302018,0.9545,-0.23064,110.0,1726,23.5,49.0,0.32,17.2,6.7,0.0,,0.150304,-0.127095,,,,,,,
B0090_S10,5.062169712900316,253.0,12949,11235,86.76,10378,6541,50.51,5576,43.06,7/15/19,2019,Water,Pre,14:00:00,0.0,3.8,SW,0,0.0,2,,,,,,45.0,1653,24.3,83.0,0.77,19.6,6.4,0.0,,0.150304,-0.127095,,,,,,,
B0091_S11,5.1164736206157055,274.0,16011,14317,89.42,13194,8471,52.91,7121,44.48,7/15/19,2019,Water,Pre,14:00:00,0.0,3.8,SW,0,0.0,3,,,,,,30.0,3550,22.3,143.0,0.7,19.8,8.7,0.0,,0.150304,-0.127095,,,,,,,
B0092_S12,5.230526297253573,328.0,59509,52796,88.72,51005,38325,64.4,28113,47.24,7/15/19,2019,Water,Pre,14:00:00,0.0,3.8,SW,0,0.0,4,P_0054,0.4095,-0.00141,0.9125,-0.02355,75.0,3841,21.5,55.0,0.89,22.2,5.1,0.0,,0.150304,-0.127095,,,,,,,
B0093_S13,5.227541739067654,329.0,26801,23200,86.56,21586,14557,54.32,12894,48.11,7/15/19,2019,Water,Pre,17:00:00,0.0,3.3,SW,0,0.0,1,P_0055,0.321,0.230366,0.9185,-0.05625,100.0,1726,26.1,56.0,1.77,24.8,5.8,0.0,,0.191053,-0.037125,,,,,,,
B0094_S14,5.184353568047463,300.0,24589,21035,85.55,19761,12385,50.37,10109,41.11,7/15/19,2019,Water,Pre,17:00:00,0.0,3.3,SW,0,0.0,2,,,,,,85.0,1679,27.2,59.0,0.86,32.2,4.9,0.0,,0.191053,-0.037125,,,,,,,
