,Shannon,Sobs,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Date,Year,SampleType,Dosing,Time,InfluentFlowgalpermin,WindSpeedmps,WindDirection,H2OUse,PercentCloudCover,SamPortNum,PSampleID,ImidAbsorbance,ImidConcentration,PyreAbsorbance,PyreConcentration,FilterVolmL,ConductivitymgL,TempC,Turbidityppm,Phosppm,Nitratesppm,DisO2ppm,Salinity,pH,avgImidppm,avgPyreppm,ImidConcentrationppm,PyreConcentrationppm,TurbidityppmSONDE,NitratesppmSONDE,DisO2ppmSONDE,SalinitySONDE,pHSONDE
B0050_S50,5.042721141,246,11082,10474,94.51,9768,6519,58.83,5766,52.03,7/11/19,2019,Water,pre,8:00:00,,2.6,W,0,10,2,,,,,,120,3770,18.3,85,1.07,40.6,12.5,2,,-0.0255085,0.675478,,,,,,,
B0051_S51,5.097476547,239,10908,10224,93.73,9471,6065,55.6,5293,48.52,7/11/19,2019,Water,pre,8:00:00,,2.6,W,0,10,3,,,,,,92,1702,19.3,16,1.54,40.2,8.1,1,,-0.0255085,0.675478,,,,,,,
B0052_S52,5.120346202,255,12285,11555,94.06,10817,7170,58.36,6247,50.85,7/11/19,2019,Water,pre,8:00:00,,2.6,W,0,10,4,P_0034,0.5335,0.004733,0.569,0.237008,50,3440,18.3,13,1.19,31,8.1,1,,-0.0255085,0.675478,,,,,,,
B0053_S53,5.34918813,321,17302,16337,94.42,15327,10042,58.04,8602,49.72,7/11/19,2019,Water,pre,11:22:00,,4.6,W,0,0,1,P_0035,0.514,0.039588,0.5335,0.65758,145,4843,,23,1.11,26.2,9.7,0,,0.027904,0.802122,,,,,,,
B0054_S54,5.252903222,297,17378,16331,93.98,15229,9649,55.52,8390,48.28,7/11/19,2019,Water,pre,11:22:00,,4.6,W,0,0,2,,,,,,150,1652,,30,1.11,36,8.3,0,,0.027904,0.802122,,,,,,,
B0055_S55,5.07346241,246,13961,13003,93.14,11810,6705,48.03,5483,39.27,7/11/19,2019,Water,pre,11:22:00,,4.6,W,0,0,3,,,,,,125,4206,,24,1.17,35.8,8.7,0,,0.027904,0.802122,,,,,,,
B0056_S56,4.235850053,107,3205,2827,88.21,2599,2132,66.52,2012,62.78,7/11/19,2019,Water,pre,11:22:00,,4.6,W,0,0,4,P_0036,0.527,0.01622,0.514,0.946664,120,3902,,30,1.35,36.2,4.6,0,,0.027904,0.802122,,,,,,,
B0058_S58,5.44251356,386,79431,74662,94,72100,53278,67.07,40457,50.93,7/11/19,2019,Water,pre,14:25:00,,3.9,W,0,0,2,,,,,,110,3788,20.4,54,1.06,34.2,5.5,0,,-0.01989,0.562886,,,,,,,
B0059_S59,5.017051687,238,14546,13589,93.42,12260,6597,45.35,5203,35.77,7/11/19,2019,Water,pre,14:25:00,,3.9,W,0,0,3,,,,,,90,2833,20.3,45,1.09,33.6,10.1,0,,-0.01989,0.562886,,,,,,,
B0060_S60,5.135546523,272,14046,13269,94.47,12494,8269,58.87,7117,50.67,7/11/19,2019,Water,pre,14:25:00,,3.9,W,0,0,4,P_0038,0.5395,-0.00575,0.556,0.376946,98,1470,18.6,45,1.18,40,,0,,-0.01989,0.562886,,,,,,,
B0061_S61,5.18729192,275,11920,11106,93.17,10322,6754,56.66,5894,49.45,7/11/19,2019,Water,pre,17:10:00,,4,W,3,10,1,P_0039,0.494,0.076594,0.5395,0.577584,165,1864,22.2,23,0.79,39.6,4.7,1,,0.048633,0.936596,,,,,,,
B0062_S62,4.55456829,160,5092,4762,93.52,4439,3322,65.24,3062,60.13,7/11/19,2019,Water,pre,17:10:00,,4,W,3,10,2,,,,,,80,1754,22.4,87,0.98,33.8,7.8,1,,0.048633,0.936596,,,,,,,
B0063_S63,5.371468974,377,43536,38984,89.54,37369,29928,68.74,26279,60.36,7/11/19,2019,Water,pre,17:10:00,,4,W,3,10,3,,,,,,40,1621,22.3,138,1.12,35.4,7.8,0,,0.048633,0.936596,,,,,,,
B0064_S64,4.156080607,96,3089,2625,84.98,2302,1658,53.67,1504,48.69,7/11/19,2019,Water,pre,17:10:00,,4,W,3,10,4,P_0040,0.5245,0.020672,0.494,1.295608,110,1685,20,32,1.55,37.4,4,0,,0.048633,0.936596,,,,,,,
B0065_S65,4.873934032,222,8574,8065,94.06,7432,5737,66.91,5264,61.39,7/12/19,2019,Water,pre,8:04:00,,0,,0,100,1,P_0041,0.371,0.334975,0.5245,0.785244,105,1545,18.9,27,1.11,23.6,1.9,2,,0.223485,3.056711,,,,,,,
B0066_S66,4.955401516,240,11293,10533,93.27,9871,7056,62.48,6102,54.03,7/12/19,2019,Water,pre,8:04:00,,0,,0,100,2,,,,,,115,1598,19.1,62,0.45,29,5,2,,0.223485,3.056711,,,,,,,
B0067_S67,5.018175398,251,11742,11071,94.29,10329,7734,65.87,6981,59.45,7/12/19,2019,Water,pre,8:04:00,,0,,0,100,3,,,,,,70,1552,18.9,75,1.03,33,4.1,2,,0.223485,3.056711,,,,,,,
B0068_S68,4.392646567,130,3801,3511,92.37,3236,2772,72.93,2670,70.24,7/12/19,2019,Water,pre,8:04:00,,0,,0,100,4,P_0042,0.4755,0.111995,0.371,5.328178,78,2475,18.1,39,1.13,31.4,2.8,2.5,,0.223485,3.056711,,,,,,,
B0069_S69,5.01938916,246,13050,12328,94.47,11506,8329,63.82,7247,55.53,7/12/19,2019,Water,pre,11:00:00,,2.8,W,0,60,1,P_0043,0.4065,0.254614,0.4755,1.67383,145,3563,20.8,23,0.91,43.4,4.3,2,,0.168909,2.6981915,,,,,,,
B0070_S70,5.156767305,295,13795,12835,93.04,11854,7746,56.15,6592,47.79,7/12/19,2019,Water,pre,11:00:00,,2.8,W,0,60,2,,,,,,60,1669,22.8,64,0.89,40,4.6,2.5,,0.168909,2.6981915,,,,,,,
B0071_S71,4.798768483,205,9136,7734,84.65,7125,5107,55.9,4593,50.27,7/12/19,2019,Water,pre,11:00:00,,2.8,W,0,60,3,,,,,,40,4971,20,176,1,22,8.9,2.5,,0.168909,2.6981915,,,,,,,
B0072_S72,4.776263488,182,8247,7010,85,6472,4515,54.75,4107,49.8,7/12/19,2019,Water,pre,11:00:00,,2.8,W,0,60,4,P_0044,0.4905,0.083204,0.4065,3.722553,70,4870,19.7,65,0.92,23.2,4.1,2.5,,0.168909,2.6981915,,,,,,,
B0073_S73,5.127649356,271,8905,8423,94.59,7775,6050,67.94,5597,62.85,7/12/19,2019,Water,pre,14:09:00,,4.1,W,0,40,1,P_0045,0.473,0.116868,0.4905,1.36281,160,5257,22.3,94,0.89,25.2,3.4,1.5,,0.213776,1.54616,,,,,,,
B0074_S74,4.815573677,208,8719,8146,93.43,7570,5464,62.67,4834,55.44,7/12/19,2019,Water,pre,14:09:00,,4.1,W,0,40,2,,,,,,73,2882,22.1,44,0.44,25.4,11,2,,0.213776,1.54616,,,,,,,
B0075_S75,4.985640107,246,11263,10668,94.72,9967,7473,66.35,6673,59.25,7/12/19,2019,Water,pre,14:09:00,,4.1,W,0,40,3,,,,,,53,1826,21.2,60,0.88,22,7.5,0,,0.213776,1.54616,,,,,,,
B0076_S76,5.014760751,229,9086,8457,93.08,7874,6042,66.5,5629,61.95,7/12/19,2019,Water,pre,14:09:00,,4.1,W,0,40,4,P_0046,0.3815,0.310684,0.473,1.72951,90,1787,18.8,57,0.82,23.2,3.8,0,,0.213776,1.54616,,,,,,,
B0077_S77,5.121243335,271,9731,9212,94.67,8697,7609,78.19,7221,74.21,7/12/19,2019,Water,pre,17:04:00,,3.2,W,5,95,1,P_0047,0.4175,0.230709,0.3815,4.803436,125,2075,22.6,29,1.03,26.4,3.5,3,,0.2080005,4.058286,,,,,,,
B0078_S78,4.877528568,236,10581,9918,93.73,9257,6824,64.49,5936,56.1,7/12/19,2019,Water,pre,17:04:00,,3.2,W,5,95,2,,,,,,65,1848,22.9,75,0.97,27.6,4,3,,0.2080005,4.058286,,,,,,,
B0079_S79,5.05282481,246,13370,10807,80.83,9929,7162,53.57,6364,47.6,7/12/19,2019,Water,pre,17:04:00,,3.2,W,5,95,3,,,,,,45,2509,21.7,159,0.92,22,6.3,2,,0.2080005,4.058286,,,,,,,
B0080_S80,4.782103316,183,8361,6715,80.31,6103,4551,54.43,4157,49.72,7/12/19,2019,Water,pre,17:04:00,,3.2,W,5,95,4,P_0048,0.439,0.185292,0.4175,3.313136,40,1499,22.4,122,0.9,24.6,4.2,2,,0.2080005,4.058286,,,,,,,
B0081_S1,5.018934055,259,14340,12614,87.96,11645,7658,53.4,6527,45.52,7/15/19,2019,Water,pre,8:00:00,0,1.1,W,0,0,1,P_0049,0.275,0.371359,0.851,0.384306,210,4360,17.4,30,0.79,18.8,6.4,1,,0.1849745,0.3424165,,,,,,,
B0082_S2,4.960805092,232,13849,11850,85.57,10906,6475,46.75,5325,38.45,7/15/19,2019,Water,pre,8:00:00,0,1.1,W,0,0,2,,,,,,110,3383,17.2,96,1.03,26.6,4.6,2,,0.1849745,0.3424165,,,,,,,
B0083_S3,5.203869696,289,21407,19141,89.41,17659,11042,51.58,9104,42.53,7/15/19,2019,Water,pre,8:00:00,0,1.1,W,0,0,3,,,,,,50,2868,17.8,201,0.67,21.8,5.5,2,,0.1849745,0.3424165,,,,,,,
B0085_S5,5.214788092,304,17698,15710,88.77,14633,9217,52.08,7771,43.91,7/15/19,2019,Water,pre,11:00:00,0,3.2,W,0,0,1,P_0051,0.1105,1.021366,0.9,0.048233,130,1594,18.7,42,1.13,20.8,7.2,2.5,,0.5665365,0.049722,,,,,,,
B0086_S6,4.956410067,230,13125,11322,86.26,10571,6277,47.82,5332,40.62,7/15/19,2019,Water,pre,11:00:00,0,3.2,W,0,0,2,,,,,,75,2133,18.9,91,0.67,22.4,4.1,0,,0.5665365,0.049722,,,,,,,
B0087_S7,5.092144869,294,20219,18178,89.91,17087,11906,58.89,9854,48.74,7/15/19,2019,Water,pre,11:00:00,0,3.2,W,0,0,3,,,,,,40,5059,19.3,202,0.71,17.6,6.2,1,,0.5665365,0.049722,,,,,,,
B0088_S8,4.973421816,245,15248,13032,85.47,12178,7790,51.09,6571,43.09,7/15/19,2019,Water,pre,11:00:00,0,3.2,W,0,0,4,P_0052,0.364,0.111707,0.8995,0.051211,70,4590,18.6,88,0.91,17.6,3.5,0,,0.5665365,0.049722,,,,,,,
B0089_S9,5.316264142,320,15587,14103,90.48,13089,9122,58.52,8027,51.5,7/15/19,2019,Water,pre,14:00:00,0,3.8,SW,0,0,1,P_0053,0.297,0.302018,0.9545,-0.23064,110,1726,23.5,49,0.32,17.2,6.7,0,,0.150304,-0.127095,,,,,,,
B0090_S10,5.062169713,253,12949,11235,86.76,10378,6541,50.51,5576,43.06,7/15/19,2019,Water,pre,14:00:00,0,3.8,SW,0,0,2,,,,,,45,1653,24.3,83,0.77,19.6,6.4,0,,0.150304,-0.127095,,,,,,,
B0091_S11,5.116473621,274,16011,14317,89.42,13194,8471,52.91,7121,44.48,7/15/19,2019,Water,pre,14:00:00,0,3.8,SW,0,0,3,,,,,,30,3550,22.3,143,0.7,19.8,8.7,0,,0.150304,-0.127095,,,,,,,
B0092_S12,5.230526297,328,59509,52796,88.72,51005,38325,64.4,28113,47.24,7/15/19,2019,Water,pre,14:00:00,0,3.8,SW,0,0,4,P_0054,0.4095,-0.00141,0.9125,-0.02355,75,3841,21.5,55,0.89,22.2,5.1,0,,0.150304,-0.127095,,,,,,,
B0093_S13,5.227541739,329,26801,23200,86.56,21586,14557,54.32,12894,48.11,7/15/19,2019,Water,pre,17:00:00,0,3.3,SW,0,0,1,P_0055,0.321,0.230366,0.9185,-0.05625,100,1726,26.1,56,1.77,24.8,5.8,0,,0.191053,-0.037125,,,,,,,
B0094_S14,5.184353568,300,24589,21035,85.55,19761,12385,50.37,10109,41.11,7/15/19,2019,Water,pre,17:00:00,0,3.3,SW,0,0,2,,,,,,85,1679,27.2,59,0.86,32.2,4.9,0,,0.191053,-0.037125,,,,,,,
B0095_S15,5.304427139,300,14771,13025,88.18,11915,7131,48.28,6159,41.7,7/15/19,2019,Water,pre,17:00:00,0,3.3,SW,0,0,3,,,,,,35,1618,24.9,206,0.84,19.6,14.2,0,,0.191053,-0.037125,,,,,,,
B0096_S16,5.093156866,255,14176,12448,87.81,11646,7937,55.99,6735,47.51,7/15/19,2019,Water,pre,17:00:00,0,3.3,SW,0,0,4,P_0056,0.349,0.15174,0.9115,-0.018,70,1022,24.3,75,1.26,26,4.2,0,,0.191053,-0.037125,,,,,,,
B0097_S17,5.321043465,316,14389,12628,87.76,11522,6623,46.03,5770,40.1,7/16/19,2019,Water,pre,8:00:00,0,2.9,W,0,95,1,P_0057,0.2685,0.392544,0.9095,-0.00679,94,3781,18.6,117,1.02,17,7.3,2,,0.184502,-0.07492,,,,,,,
B0098_S18,4.396163666,139,5792,4999,86.31,4491,2909,50.22,2561,44.22,7/16/19,2019,Water,pre,8:00:00,0,2.9,W,0,95,2,,,,,,70,1710,19.7,85,0.86,9.4,4.8,2.5,,0.184502,-0.07492,,,,,,,
B0099_S19,5.195423073,289,16713,14636,87.57,13429,8050,48.17,6879,41.16,7/16/19,2019,Water,pre,8:00:00,0,2.9,W,0,95,3,,,,,,40,4196,20.4,228,1.37,9.4,7.1,3,,0.184502,-0.07492,,,,,,,
B0100_S20,5.337167369,307,21134,18834,89.12,17470,10723,50.74,9247,43.75,7/16/19,2019,Water,pre,8:00:00,0,2.9,W,0,95,4,P_0058,0.419,-0.02354,0.9355,-0.14305,80,1444,18.7,94,0.88,12,6,3,,0.184502,-0.07492,,,,,,,
B0101_S21,5.02816477,262,15386,13074,84.97,11915,8546,55.54,7761,50.44,7/16/19,2019,Water,pre,11:00:00,0,2.6,W,0,100,1,P_0059,0.358,0.12755,0.894,0.084542,68,1585,18.9,149,0.73,11.6,7.2,2,,0.1362595,0.0619445,,,,,,,
B0102_S22,5.0831922,252,15621,13132,84.07,12073,7312,46.81,6312,40.41,7/16/19,2019,Water,pre,11:00:00,0,2.6,W,0,100,2,,,,,,77,1630,20.3,74,0.91,12.8,4.1,2,,0.1362595,0.0619445,,,,,,,
B0103_S23,4.918887185,263,17194,15128,87.98,13987,9246,53.77,7486,43.54,7/16/19,2019,Water,pre,11:00:00,0,2.6,W,0,100,3,,,,,,35,1610,20.8,186,0.92,5,8.2,2.5,,0.1362595,0.0619445,,,,,,,
B0104_S24,4.892989791,240,17475,14793,84.65,13966,9868,56.47,7972,45.62,7/16/19,2019,Water,pre,11:00:00,0,2.6,W,0,100,4,P_0060,0.3515,0.144969,0.9015,0.039347,92,1620,20,67,0.71,7.2,4.8,3,,0.1362595,0.0619445,,,,,,,
